formula,P,Tc(pred),Tc(DB)
SeH6,150,36,39
SeH6,200,26,28
SeH6,300,36,26
SeH6,150,36,32
SeH6,200,26,22
SeH6,300,36,19
SeH6,265,75,87
SeH6,270,76,86
SeH6,300,36,56
SeH6,265,75,76
SeH6,270,76,75
SeH6,300,36,50
ScH2,300,6,4
ScH3,400,0,1
ScH4,120,87,92
ScH4,250,76,68
ScH6,250,72,29
ScH6,350,125,135
ScH7,300,171,169
ScH9,300,165,163
ScH10,250,171,120
ScH12,350,159,141
C6H6,185,10,7
C6H6,190,16,13
C6H6,195,17,15
C6H6,185,10,11
C6H6,190,16,18
C6H6,195,17,19
ScH3,135,0,0
ScH3,135,0,0
ScH4,195,78,81
ScH4,195,78,67
ScH6,145,69,75
ScH6,145,69,63
ScH6,285,118,147
ScH6,285,118,130
ScH6,130,113,122
ScH6,200,77,103
ScH6,300,97,65
ScH4,200,94,104
ScH4,250,76,90
ScH4,300,80,90
ScH8,300,121,117
ScH8,350,121,119
ScH8,400,146,150
ScH6,300,97,123
ScH6,350,125,120
ScH6,400,121,120
ScH6,300,97,100
ScH6,300,97,87
ScH9,400,172,181
ScH9,400,172,167
YH6,120,258,264
YH6,120,258,250
YH9,150,259,267
YH9,150,259,253
YH10,400,294,310
YH10,400,294,287
LaH6,100,155,170
LaH6,100,155,154
LaH9,50,24,27
LaH9,50,24,21
CeH9,100,50,53
CeH9,100,50,47
CeH10,200,76,59
CeH10,200,76,49
YH3,120,8,19
YH3,120,8,6
YH3,200,2,9
YH3,200,2,0
YH3,200,2,0
YH4,120,81,94
YH4,200,62,55
LaH4,300,52,10
LaH4,300,52,5
LaH8,300,105,131
LaH8,300,105,114
LaH10,210,225,238
LaH10,210,225,219
LaH10,250,223,232
LaH10,250,223,212
LaH10,300,202,215
LaH10,300,202,196
YH10,250,254,265
YH10,250,254,244
YH10,300,245,255
YH10,300,245,233
VH,200,3,2
VH,200,3,0
VH2,200,7,6
VH2,200,7,3
VH3,200,4,4
VH3,200,4,2
VH5,200,94,18
VH5,200,94,11
VH5,300,93,25
VH5,300,93,18
VH8,300,129,71
VH8,300,129,62
ScH3,18,3,19
LaH3,11,44,22
CrH,0,5,10
CrH,60,5,4
CrH,120,5,3
CrH,200,8,3
CrH3,81,36,37
CrH3,120,36,29
CrH3,160,37,28
CrH3,200,37,27
ThH3,100,41,0
ThH3,100,41,0
Th3H10,10,49,3
Th3H10,10,49,1
ThH4,85,81,3
ThH4,85,81,0
ThH7,100,132,64
ThH7,100,132,45
ThH10,100,204,221
ThH10,100,204,193
ThH10,200,204,182
ThH10,200,204,150
ThH10,300,192,155
ThH10,300,192,121
UH10,100,233,50
UH10,100,233,39
UH10,200,233,21
UH10,200,233,12
UH10,300,211,11
UH10,300,211,5
UH10,400,231,9
UH10,400,231,3
UH10,500,231,15
UH10,500,231,6
CaH4,200,76,11
CaH4,200,76,6
CaH4,300,79,39
CaH4,300,79,29
CaH4,400,79,44
CaH4,400,79,32
CaH9,300,155,266
CaH9,300,155,239
CaH9,350,155,274
CaH9,350,155,256
CaH9,400,164,285
CaH9,400,164,260
CaH10,400,129,175
CaH10,400,129,156
BH2,250,36,37
BH2,250,36,28
BH2,300,37,34
BH2,300,37,23
BH2,350,37,33
BH2,350,37,22
BH2,400,37,28
BH2,400,37,18
BH,250,19,4
BH,250,19,1
CaH6,150,183,220
CaH6,150,183,235
CaH6,200,183,201
CaH6,250,183,187
PbH8,230,84,107
PbH8,140,77,76
PbH8,180,84,97
PbH8,200,84,103
PbH8,250,84,106
PbH8,300,93,105
PbH8,350,93,104
PbH8,140,77,63
PbH8,180,84,81
PbH8,200,84,85
PbH8,250,84,89
PbH8,300,93,88
PbH8,350,93,86
AlH3,110,37,24
AlH3,165,33,6
LaH10,200,225,288
LaH4,300,52,10
LaH8,300,105,131
LaH10,210,225,238
LaH10,250,223,232
LaH10,300,202,215
YH10,250,254,265
YH10,300,245,255
LaH4,300,52,5
LaH8,300,105,114
LaH10,210,225,219
LaH10,250,223,212
LaH10,300,202,196
YH10,250,254,244
YH10,300,245,233
PtH,90,19,11
PtH,95,13,9
PtH,100,13,7
PtH,120,14,3
PtH,140,14,1
PtH,160,14,0
SiH4,220,42,16
GeH4,220,53,64
SnH4,70,26,58
SnH4,120,26,73
SnH4,160,37,74
SnH4,120,26,83
SnH4,120,26,77
YH4,120,81,95
YH4,120,81,84
YH6,120,258,264
YH6,120,258,251
MgH6,300,106,263
MgH6,350,106,265
MgH6,400,112,271
IH2,100,5,5
IH2,150,5,4
IH2,200,5,3
IH2,240,5,3
IH2,100,5,3
IH2,150,5,2
IH2,200,5,1
IH2,240,5,1
IH2,240,5,33
IH2,260,5,30
IH2,300,5,25
IH2,240,5,23
IH2,260,5,21
IH2,300,5,16
IH4,120,13,9
IH4,160,18,8
IH4,200,25,9
IH4,250,31,11
IH4,120,13,6
IH4,160,18,5
IH4,200,25,5
IH4,250,31,6
IH4,300,23,7
PH1,80,19,41
PH1,120,18,33
PH1,200,18,61
PH1,250,20,82
PH2,80,41,47
PH2,120,41,47
PH2,150,39,56
PH2,180,56,61
PH2,200,56,67
PH2,220,56,78
PH2,260,55,86
PH3,80,69,44
PH3,90,69,40
PH3,110,69,36
PH3,140,76,42
PH3,180,93,50
PH3,220,93,55
PH3,260,93,72
YH6,200,258,220
YH6,200,258,205
CaH6,200,183,211
CaH6,200,183,197
RuH1,100,8,0
RuH3,100,22,3
RuH3,200,24,1
FeH5,150,70,45
FeH5,200,72,39
FeH5,300,69,35
FeH5,150,70,33
FeH5,200,72,30
FeH5,300,69,28
FeH6,100,50,3
FeH6,150,49,42
FeH6,300,50,37
FeH6,100,50,1
FeH6,150,49,31
FeH6,300,50,27
BeH2,230,37,42
BeH2,250,37,44
BeH2,275,37,45
BeH2,290,38,37
BeH2,310,38,34
BeH2,350,37,75
BeH2,365,37,97
BeH2,390,37,63
BeH2,400,37,62
BeH2,230,37,30
BeH2,250,37,32
BeH2,275,37,32
BeH2,290,38,26
BeH2,310,38,24
BeH2,350,37,63
BeH2,365,37,78
BeH2,390,37,50
BeH2,400,37,46
SrH6,250,117,108
PtH,113,14,17
PtH,130,14,15
PtH,160,14,9
PtH,192,14,7
TaH2,200,13,7
TaH4,250,64,31
TaH6,300,127,135
TaH2,200,13,5
TaH4,250,64,23
TaH6,300,127,124
NbH4,300,44,46
VH2,0,11,0
VH2,60,8,4
NbH2,0,2,1
NbH2,60,1,0
ZrH,120,1,10
TiH2,0,11,6
ScH2,0,12,22
ScH2,10,12,27
ScH2,20,12,34
ScH2,30,9,38
ScH2,40,9,31
ScH2,50,8,32
ScH2,60,8,31
ScH2,70,8,30
ScH2,80,8,32
XeH,100,6,28
XeH,200,5,16
XeH,300,10,12
XeH2,400,8,28
XeH2,500,8,21
XeH2,600,8,16
B2H6,360,52,125
AlH3,73,37,11
AlH3,75,37,10
AlH3,80,37,8
AlH3,85,37,6
AlH3,90,37,5
AlH3,95,37,4
AlH3,100,37,3
AlH3,105,37,2
AlH3,110,37,1
GaH3,120,60,122
InH3,200,69,40
InH3,250,69,39
InH3,300,71,37
InH3,200,69,34
InH3,250,69,32
InH3,300,71,31
InH5,150,66,27
InH5,150,66,22
SiH4,125,42,55
SiH4,125,42,49
SiH4,125,42,46
SiH4,90,58,48
SiH4,90,58,42
SiH4,90,58,39
SiH4,300,27,32
SiH8,250,150,107
SiH8,250,150,98
Si2H6,175,40,75
Si2H6,200,40,91
Si2H6,275,37,153
Si2H6,300,37,41
Si2H6,175,40,64
Si2H6,200,40,80
Si2H6,275,37,138
Si2H6,300,37,33
Si2H6,100,42,24
Si2H6,140,41,17
Si2H6,160,41,16
Si2H6,200,40,16
Si2H6,220,42,16
Si2H6,100,42,20
Si2H6,140,41,13
Si2H6,160,41,12
Si2H6,200,40,12
Si2H6,220,42,12
GeH4,20,49,47
GeH4,20,49,36
GeH8,250,173,90
GeH8,250,173,76
GeH8,230,174,91
GeH8,250,173,89
GeH8,270,173,87
GeH8,290,164,84
GeH8,310,164,78
GeH8,330,164,67
GeH8,350,164,46
GeH8,230,174,73
GeH8,250,173,69
GeH8,270,173,67
GeH8,290,164,64
GeH8,310,164,55
GeH8,330,164,41
GeH8,350,164,23
GeH3,220,41,80
GeH3,180,41,140
SnH8,250,68,72
SnH8,300,77,75
SnH8,350,77,81
SnH8,250,68,63
SnH8,300,77,67
SnH8,350,77,73
SnH4,500,74,63
SnH4,550,74,84
SnH4,600,74,94
PH,80,19,12
PH2,80,41,30
PH2,80,41,29
PH4,80,46,1
SbH4,150,92,106
SbH4,200,101,98
SbH4,250,95,90
SbH4,300,91,82
SbH4,150,92,95
SbH4,200,101,87
SbH4,250,95,79
SbH4,300,91,72
SbH,200,11,10
SbH,300,18,5
SbH,200,11,6
SbH,300,18,2
BiH2,125,49,39
BiH3,270,46,65
SbH3,170,26,68
PoH,300,4,0
PoH2,200,4,0
PoH4,200,47,47
PoH6,200,11,4
PoH,300,4,0
PoH2,200,4,0
PoH4,200,47,41
PoH6,200,11,2
PoH4,150,56,37
PoH4,200,47,47
PoH4,250,54,53
PoH4,150,56,32
PoH4,200,47,41
PoH4,250,54,45
ClH2,400,36,44
ClH2,400,36,43
BrH,140,0,27
BrH,160,0,33
BrH,180,0,48
BrH,200,0,51
ClH,240,14,7
ClH,280,15,14
ClH,320,15,29
ClH,360,15,32
BrH,140,0,21
BrH,160,0,27
BrH,180,0,41
BrH,200,0,44
ClH,240,14,3
ClH,280,15,8
ClH,320,15,22
ClH,360,15,32
BrH,150,0,28
BrH,200,0,15
BrH,250,0,10
BrH,300,0,9
BrH2,240,7,12
BrH2,240,7,7
BrH4,240,58,2
BrH4,240,58,0
SH2,100,33,42
SH2,110,33,42
SH2,120,33,42
SH2,130,33,43
