 formula,group,  P [GPa],  lambda,  w_log [K],   mu,     Tc [K], reference
    VH2 ,   62,       60,        ,           , 0.10,    4      , https://doi.org/10.1063/1.4866179 
   NbH2 ,  186,        0,        ,           , 0.10,    1.5    , https://doi.org/10.1063/1.4866179 
   NbH2 ,  186,       60,        ,           , 0.10,    0.5    , https://doi.org/10.1063/1.4866179 
   ZrH  ,   63,      120, 0.71   ,    295.6  , 0.10,   10.6    , https://doi.org/10.1039/C6CP08036G
   TiH2 ,  225,        0, 0.84   ,    127.1 , 0.10,    6.7    , https://doi.org/10.1038/srep28102 
   ScH2 ,  225,        0, 0.696  ,    364.2  , 0.10,   22.826  , https://doi.org/10.1039/C6RA11862C
   ScH2 ,  225,       10, 0.707  ,    433.4  , 0.10,   27.832  , https://doi.org/10.1039/C6RA11862C
   ScH2 ,  225,       20, 0.878  ,    396.7  , 0.10,   34.347  , https://doi.org/10.1039/C6RA11862C
   ScH2 ,  225,       30, 0.976  ,    389.0  , 0.10,   38.110  , https://doi.org/10.1039/C6RA11862C
   ScH2 ,  225,       40, 0.849  ,    381.4  , 0.10,   31.661  , https://doi.org/10.1039/C6RA11862C
   ScH2 ,  225,       50, 0.936  ,    342.7  , 0.10,   32.024  , https://doi.org/10.1039/C6RA11862C
   ScH2 ,  225,       60, 0.872  ,    367.5  , 0.10,   31.550  , https://doi.org/10.1039/C6RA11862C
   ScH2 ,  225,       70, 0.856  ,    361.8  , 0.10,   30.349  , https://doi.org/10.1039/C6RA11862C
   ScH2 ,  225,       80, 0.869  ,    384.9  , 0.10,   32.903  , https://doi.org/10.1039/C6RA11862C
   XeH  ,   71,      100, 1.04   ,           , 0.12,   28.96   , https://doi.org/10.1063/1.4931931 
   XeH  ,   71,      200, 0.79   ,           , 0.12,   16.95   , https://doi.org/10.1063/1.4931931 
   XeH  ,   71,      300, 0.69   ,           , 0.12,   12.92   , https://doi.org/10.1063/1.4931931 
   XeH2 ,   63,      400, 0.69   ,           , 0.12,   28.49   , https://doi.org/10.1063/1.4931931 
   XeH2 ,   63,      500, 0.62   ,           , 0.12,   21.02   , https://doi.org/10.1063/1.4931931 
   XeH2 ,   63,      600, 0.56   ,           , 0.12,   16.00   , https://doi.org/10.1063/1.4931931 
   B2H6 ,   61,      360, 1.32   ,   1270    , 0.13,  125      , https://doi.org/10.1103/PhysRevB.84.104118 
   AlH3 ,  223,       73, 0.5924 ,    389.1  , 0.07,   11.50   , https://doi.org/10.1063/1.4821287
   AlH3 ,  223,       75, 0.5752 ,    379.2  , 0.07,   10.51   , https://doi.org/10.1063/1.4821287
   AlH3 ,  223,       80, 0.5371 ,    363.9  , 0.07,    8.119  , https://doi.org/10.1063/1.4821287
   AlH3 ,  223,       85, 0.5029 ,    372.3  , 0.07,    6.963  , https://doi.org/10.1063/1.4821287
   AlH3 ,  223,       90, 0.4705 ,    378.9  , 0.07,    5.560  , https://doi.org/10.1063/1.4821287
   AlH3 ,  223,       95, 0.4400 ,    385.8  , 0.07,    4.486  , https://doi.org/10.1063/1.4821287
   AlH3 ,  223,      100, 0.4114 ,    392.1  , 0.07,    3.495  , https://doi.org/10.1063/1.4821287
   AlH3 ,  223,      105, 0.3886 ,    399.3  , 0.07,    2.752  , https://doi.org/10.1063/1.4821287
   AlH3 ,  223,      110, 0.3638 ,    397.2  , 0.07,    1.927  , https://doi.org/10.1063/1.4821287
   GaH3 ,  223,      120,        ,           , 0.10,  122.99   , https://doi.org/10.1088/0953-2048/27/1/015003
   InH3 ,  143,      200, 0.919  ,    666.829, 0.10,   40.499  , https://doi.org/10.1021/acs.inorgchem.5b01684
   InH3 ,  143,      250, 0.857  ,    729.191, 0.10,   39.085  , https://doi.org/10.1021/acs.inorgchem.5b01684
   InH3 ,  143,      300, 0.837  ,    740.273, 0.10,   37.972  , https://doi.org/10.1021/acs.inorgchem.5b01684
   InH3 ,  143,      200, 0.919  ,    666.829, 0.13,   34.090  , https://doi.org/10.1021/acs.inorgchem.5b01684
   InH3 ,  143,      250, 0.857  ,    729.191, 0.13,   32.270  , https://doi.org/10.1021/acs.inorgchem.5b01684
   InH3 ,  143,      300, 0.837  ,    740.273, 0.13,   31.133  , https://doi.org/10.1021/acs.inorgchem.5b01684
   InH5 ,   11,      150, 0.85   ,    509    , 0.10,   27.1    , https://doi.org/10.1021/acs.inorgchem.5b01684
   InH5 ,   11,      150, 0.85   ,    509    , 0.13,   22.4    , https://doi.org/10.1021/acs.inorgchem.5b01684
   SiH4 ,   15,      125, 0.89   ,    959    , 0.10,   55      , https://doi.org/10.1209/0295-5075/78/37003
   SiH4 ,   15,      125, 0.89   ,    959    , 0.12,   49      , https://doi.org/10.1209/0295-5075/78/37003
   SiH4 ,   15,      125, 0.89   ,    959    , 0.13,   46      , https://doi.org/10.1209/0295-5075/78/37003
   SiH4 ,   15,       90, 0.81   ,    987    , 0.10,   48      , https://doi.org/10.1209/0295-5075/78/37003
   SiH4 ,   15,       90, 0.81   ,    987    , 0.12,   42      , https://doi.org/10.1209/0295-5075/78/37003
   SiH4 ,   15,       90, 0.81   ,    987    , 0.13,   39      , https://doi.org/10.1209/0295-5075/78/37003
   SiH4 ,  147,      300, 0.63   ,   1320    , 0.12,   32      , https://doi.org/10.1038/srep13039
   SiH8 ,   68,      250, 1.625  ,    871    , 0.10,  107      , https://doi.org/10.1073/pnas.1007354107
   SiH8 ,   68,      250, 1.625  ,    871    , 0.13,   98      , https://doi.org/10.1073/pnas.1007354107
  Si2H6 ,    2,      175, 0.980  ,   1121.42 , 0.10,   75.63   , https://doi.org/10.1073/pnas.1005242107
  Si2H6 ,    2,      200, 1.089  ,   1164.28 , 0.10,   91.78   , https://doi.org/10.1073/pnas.1005242107
  Si2H6 ,  221,      275, 1.397  ,   1443.60 , 0.10,  153.44   , https://doi.org/10.1073/pnas.1005242107
  Si2H6 ,   15,      300, 0.812  ,    866.13 , 0.10,   41.83   , https://doi.org/10.1073/pnas.1005242107
  Si2H6 ,    2,      175, 0.980  ,   1121.42 , 0.13,   64.62   , https://doi.org/10.1073/pnas.1005242107
  Si2H6 ,    2,      200, 1.089  ,   1164.28 , 0.13,   80.10   , https://doi.org/10.1073/pnas.1005242107
  Si2H6 ,  221,      275, 1.397  ,   1443.60 , 0.13,  138.86   , https://doi.org/10.1073/pnas.1005242107
  Si2H6 ,   15,      300, 0.812  ,    866.13 , 0.13,   33.97   , https://doi.org/10.1073/pnas.1005242107
  Si2H6 ,   63,      100, 0.84   ,    478    , 0.10,   24.6    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      140, 0.68   ,    553    , 0.10,   17.9    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      160, 0.66   ,    556    , 0.10,   16.7    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      200, 0.68   ,    501    , 0.10,   16.2    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      220, 0.76   ,    384    , 0.10,   16.1    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      100, 0.84   ,    478    , 0.13,   20.2    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      140, 0.68   ,    553    , 0.13,   13.5    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      160, 0.66   ,    556    , 0.13,   12.4    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      200, 0.68   ,    501    , 0.13,   12.2    , https://doi.org/10.1103/PhysRevLett.108.117004
  Si2H6 ,   63,      220, 0.76   ,    384    , 0.13,   12.7    , https://doi.org/10.1103/PhysRevLett.108.117004
   GeH4 ,   65,       20, 1.03   ,           , 0.10,   47      , https://doi.org/10.1007/s10948-010-0675-2
   GeH4 ,   65,       20, 1.03   ,           , 0.15,   36      , https://doi.org/10.1007/s10948-010-0675-2
   GeH8 ,   14,      250, 1.43   ,           , 0.10,   90      , https://doi.org/10.1021/jp211051r
   GeH8 ,   14,      250, 1.43   ,           , 0.15,   76      , https://doi.org/10.1021/jp211051r
   GeH8 ,   14,      230, 1.571  ,           , 0.10,   91.78   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      250, 1.431  ,           , 0.10,   89.56   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      270, 1.342  ,           , 0.10,   87.78   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      290, 1.282  ,           , 0.10,   84.89   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      310, 1.189  ,           , 0.10,   78.67   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      330, 1.051  ,           , 0.10,   67.11   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      350, 0.7800 ,           , 0.10,   46.00   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      230, 1.571  ,           , 0.15,   73.11   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      250, 1.431  ,           , 0.15,   69.33   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      270, 1.342  ,           , 0.15,   67.11   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      290, 1.282  ,           , 0.15,   64.00   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      310, 1.189  ,           , 0.15,   55.78   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      330, 1.051  ,           , 0.15,   41.78   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH8 ,   14,      350, 0.7800 ,           , 0.15,   23.11   , https://doi.org/10.1016/j.physb.2012.10.039 
   GeH3 ,   66,      220, 1.65  ,            ,     ,   80.3    , https://doi.org/10.1039/C4RA13183E 
   GeH3 ,  223,      180,        ,           ,     ,  140      , http://doi.org/10.1103/PhysRevB.88.174110 
   SnH8 ,  119,      250, 1.139  ,    859.001, 0.10,   72      , https://doi.org/10.1039/C5RA20428C
   SnH8 ,  119,      300, 1.354  ,    724.997, 0.10,   75      , https://doi.org/10.1039/C5RA20428C
   SnH8 ,  119,      350, 1.392  ,    762.179, 0.10,   81      , https://doi.org/10.1039/C5RA20428C
   SnH8 ,  119,      250, 1.139  ,    859.001, 0.13,   63      , https://doi.org/10.1039/C5RA20428C
   SnH8 ,  119,      300, 1.354  ,    724.997, 0.13,   67      , https://doi.org/10.1039/C5RA20428C
   SnH8 ,  119,      350, 1.392  ,    762.179, 0.13,   73      , https://doi.org/10.1039/C5RA20428C
   SnH4 ,   12,      500, 1.023  ,   1026    , 0.13,   63.83   , https://doi.org/10.1039/C5RA27037E 
   SnH4 ,   12,      550, 1.145  ,   1146    , 0.13,   84.67   , https://doi.org/10.1039/C5RA27037E 
   SnH4 ,   12,      600, 1.270  ,   1105    , 0.13,   94.73   , https://doi.org/10.1039/C5RA27037E 
    PH  ,    5,       80, 0.63   ,    476.7  , 0.10,   12.3    , https://doi.org/10.1002/anie.201701660
    PH2 ,   12,       80, 0.95   ,    467.2  , 0.10,   30.1    , https://doi.org/10.1002/anie.201701660
    PH2 ,   65,       80, 0.88   ,    529.4  , 0.10,   29.5    , https://doi.org/10.1002/anie.201701660
    PH4 ,   12,       80, 0.37   ,    683.2  , 0.10,    1.9    , https://doi.org/10.1002/anie.201701660
   SbH4 ,  194,      150, 1.26   ,   1118.60 , 0.10,  106      , https://arxiv.org/abs/1506.03889
   SbH4 ,  194,      200, 1.17   ,   1134.02 , 0.10,   98      , https://arxiv.org/abs/1506.03889
   SbH4 ,  194,      250, 1.13   ,   1096.54 , 0.10,   90      , https://arxiv.org/abs/1506.03889
   SbH4 ,  194,      300, 1.12   ,    998.36 , 0.10,   82      , https://arxiv.org/abs/1506.03889
   SbH4 ,  194,      150, 1.26   ,   1118.60 , 0.13,   95      , https://arxiv.org/abs/1506.03889
   SbH4 ,  194,      200, 1.17   ,   1134.02 , 0.13,   87      , https://arxiv.org/abs/1506.03889
   SbH4 ,  194,      250, 1.13   ,   1096.54 , 0.13,   79      , https://arxiv.org/abs/1506.03889
   SbH4 ,  194,      300, 1.12   ,    998.36 , 0.13,   72      , https://arxiv.org/abs/1506.03889
   SbH  ,   62,      200, 0.50   ,    853.93 , 0.10,   10.5    , https://arxiv.org/abs/1506.03889
   SbH  ,   62,      300, 0.43   ,    966.71 , 0.10,    5.6    , https://arxiv.org/abs/1506.03889
   SbH  ,   62,      200, 0.50   ,    853.93 , 0.13,    6.3    , https://arxiv.org/abs/1506.03889
   SbH  ,   62,      300, 0.43   ,    966.71 , 0.13,    2.7    , https://arxiv.org/abs/1506.03889
   BiH2 ,   62,      125, 1.24   ,    422    , 0.13,   39      , https://doi.org/10.1103/PhysRevB.92.224109 
   BiH3 ,  141,      270, 1.07   ,    905    , 0.13,   65      , https://doi.org/10.1103/PhysRevB.92.224109 
   SbH3 ,   62,      170, 1.25   ,    731    , 0.13,   68      , https://doi.org/10.1103/PhysRevB.92.224109 
   PoH  ,  194,      300,        ,           , 0.10,    0.65   , https://doi.org/10.1039/C5RA19223D 
   PoH2 ,   62,      200,        ,           , 0.10,    0.00   , https://doi.org/10.1039/C5RA19223D 
   PoH4 ,   15,      200,        ,           , 0.10,   47.2    , https://doi.org/10.1039/C5RA19223D 
   PoH6 ,   12,      200,        ,           , 0.10,    4.68   , https://doi.org/10.1039/C5RA19223D 
   PoH  ,  194,      300,        ,           , 0.13,    0.14   , https://doi.org/10.1039/C5RA19223D 
   PoH2 ,   62,      200,        ,           , 0.13,    0.00   , https://doi.org/10.1039/C5RA19223D 
   PoH4 ,   15,      200,        ,           , 0.13,   41.1    , https://doi.org/10.1039/C5RA19223D 
   PoH6 ,   12,      200,        ,           , 0.13,    2.25   , https://doi.org/10.1039/C5RA19223D 
   PoH4 ,   15,      150, 1.18   ,    423.8  , 0.10,   37.2    , https://doi.org/10.1039/C5RA19223D 
   PoH4 ,   15,      200, 1.08   ,    603.0  , 0.10,   47.2    , https://doi.org/10.1039/C5RA19223D 
   PoH4 ,   15,      250, 0.97   ,    804.2  , 0.10,   53.6    , https://doi.org/10.1039/C5RA19223D 
   PoH4 ,   15,      150, 1.18   ,    423.8  , 0.13,   32.9    , https://doi.org/10.1039/C5RA19223D 
   PoH4 ,   15,      200, 1.08   ,    603.0  , 0.13,   41.2    , https://doi.org/10.1039/C5RA19223D 
   PoH4 ,   15,      250, 0.97   ,    804.2  , 0.13,   45.7    , https://doi.org/10.1039/C5RA19223D 
   ClH2 ,  166,      400, 0.66   ,   1368    , 0.10,   44.8    , https://doi.org/10.1039/C6CP08708F 
   ClH2 ,  166,      400, 0.66   ,   1368    , 0.13,   43.9    , https://doi.org/10.1039/C6CP08708F 
   BrH  ,   11,      140, 0.7466 ,    684.74 , 0.10,   27.680  , https://doi.org/10.1063/1.3471446 
   BrH  ,   11,      160, 0.7961 ,    725.39 , 0.10,   33.655  , https://doi.org/10.1063/1.3471446 
   BrH  ,   11,      180, 0.9761 ,    727.93 , 0.10,   48.818  , https://doi.org/10.1063/1.3471446 
   BrH  ,   11,      200, 0.9942 ,    744.55 , 0.10,   51.385  , https://doi.org/10.1063/1.3471446 
   ClH  ,   11,      240, 0.4499 ,    937.11 , 0.10,    7.224  , https://doi.org/10.1063/1.3471446 
   ClH  ,   11,      280, 0.5305 ,    920.70 , 0.10,   14.003  , https://doi.org/10.1063/1.3471446 
   ClH  ,   11,      320, 0.6837 ,    909.42 , 0.10,   29.834  , https://doi.org/10.1063/1.3471446 
   ClH  ,   11,      360, 0.7818 ,    909.78 , 0.13,   32.577  , https://doi.org/10.1063/1.3471446 
   BrH  ,   11,      140, 0.7466 ,    684.74 , 0.13,   21.083  , https://doi.org/10.1063/1.3471446 
   BrH  ,   11,      160, 0.7961 ,    725.39 , 0.13,   27.144  , https://doi.org/10.1063/1.3471446 
   BrH  ,   11,      180, 0.9761 ,    727.93 , 0.13,   41.684  , https://doi.org/10.1063/1.3471446 
   BrH  ,   11,      200, 0.9942 ,    744.55 , 0.13,   44.048  , https://doi.org/10.1063/1.3471446 
   ClH  ,   11,      240, 0.4499 ,    937.11 , 0.13,    3.834  , https://doi.org/10.1063/1.3471446 
   ClH  ,   11,      280, 0.5305 ,    920.70 , 0.13,    8.963  , https://doi.org/10.1063/1.3471446 
   ClH  ,   11,      320, 0.6837 ,    909.42 , 0.13,   22.613  , https://doi.org/10.1063/1.3471446 
   ClH  ,   11,      360, 0.7818 ,    909.78 , 0.13,   32.577  , https://doi.org/10.1063/1.3471446 
   BrH  ,   12,      150, 0.6700 ,    882.0  , 0.12,   28.4    , https://doi.org/10.1039/C5RA06998J 
   BrH  ,   12,      200, 0.5400 ,    964.9  , 0.12,   15.7    , https://doi.org/10.1039/C5RA06998J 
   BrH  ,   12,      250, 0.4849 ,   1038.0  , 0.12,   10.6    , https://doi.org/10.1039/C5RA06998J 
   BrH  ,   12,      300, 0.4509 ,   1125.0  , 0.12,    9.8    , https://doi.org/10.1039/C5RA06998J 
   BrH2 ,   63,      240, 0.51   ,    919    , 0.10,   12.1    , https://arxiv.org/abs/1504.01196
   BrH2 ,   63,      240, 0.51   ,    919    , 0.13,    7.5    , https://arxiv.org/abs/1504.01196
   BrH4 ,  194,      240, 0.35   ,   1302    , 0.10,    2.4    , https://arxiv.org/abs/1504.01196
   BrH4 ,  194,      240, 0.35   ,   1302    , 0.13,    0.8    , https://arxiv.org/abs/1504.01196
    SH3 ,  160,      100, 1.70   ,   1050    , 0.13,  141      , https://doi.org/10.7566/JPSJ.87.124711
    SH3 ,  160,      150, 2.22   ,   1000    , 0.13,  176      , https://doi.org/10.7566/JPSJ.87.124711
    SH3 ,  229,      200, 1.94   ,   1230    , 0.13,  189      , https://doi.org/10.7566/JPSJ.87.124711
    SH3 ,  229,      250, 1.58   ,   1400    , 0.13,  173      , https://doi.org/10.7566/JPSJ.87.124711
    SH2 ,    7,      100, 1.49   ,    380    , 0.10,   42      , https://doi.org/10.1038/s41598-019-41607-1
    SH2 ,    7,      110, 1.56   ,    356    , 0.10,   42      , https://doi.org/10.1038/s41598-019-41607-1
    SH2 ,    7,      120, 1.64   ,    344    , 0.10,   42      , https://doi.org/10.1038/s41598-019-41607-1
    SH2 ,    7,      130, 1.75   ,    332    , 0.10,   43      , https://doi.org/10.1038/s41598-019-41607-1


Ternary
   PFH4 ,   36,      300,  0.7142,    963    , 0.13,   27      , By T. Ishikawa
  YCaH12,  221,      180,  2.15  ,     1225.1, 0.10,  229.9    , https://doi.org/10.1088/1361-648X/ab09b4
  YCaH12,  221,      200,  1.96  ,     1281.4, 0.10,  222.0    , https://doi.org/10.1088/1361-648X/ab09b4
  YCaH12,  221,      250,  1.72  ,     1385.1, 0.10,  210.8    , https://doi.org/10.1088/1361-648X/ab09b4
  YCaH12,  221,      180,  2.15  ,     1225.1, 0.13,  215.5    , https://doi.org/10.1088/1361-648X/ab09b4
  YCaH12,  221,      200,  1.96  ,     1281.4, 0.13,  206.9    , https://doi.org/10.1088/1361-648X/ab09b4
  YCaH12,  221,      250,  1.72  ,     1385.1, 0.13,  194.7    , https://doi.org/10.1088/1361-648X/ab09b4
 MgSiH6 ,  200,      250,  0.956 ,    973.810, 0.10,   63.144  , https://doi.org/10.1103/PhysRevB.96.144518
 MgSiH6 ,  200,      275,  0.867 ,   1059.634, 0.10,   58.048  , https://doi.org/10.1103/PhysRevB.96.144518
 MgSiH6 ,  200,      300,  0.806 ,   1106.188, 0.10,   52.651  , https://doi.org/10.1103/PhysRevB.96.144518
 MgSiH6 ,  200,      250,  0.956 ,    973.810, 0.13,   53.651  , https://doi.org/10.1103/PhysRevB.96.144518
 MgSiH6 ,  200,      275,  0.867 ,   1059.634, 0.13,   48.090  , https://doi.org/10.1103/PhysRevB.96.144518
 MgSiH6 ,  200,      300,  0.806 ,   1106.188, 0.13,   42.646  , https://doi.org/10.1103/PhysRevB.96.144518
  Al2H6 ,  223,      250,  0.2176,   1301.11 , 0.10,    0.0006 , https://doi.org/10.1103/PhysRevB.96.144518
 AlSiH6 ,  200,      250,  0.5421,   1370.07 , 0.10,   22.51   , https://doi.org/10.1103/PhysRevB.96.144518
 MgSiH6 ,  200,      200,  1.16 ,     773.03 , 0.10,   66.6    , https://doi.org/10.1039/c7cp05267g
 MgSiH6 ,  200,      250,  0.94 ,     930.59 , 0.10,   59.05   , https://doi.org/10.1039/c7cp05267g
 MgSiH6 ,  200,      300,  0.82 ,    1030.84 , 0.10,   50.29   , https://doi.org/10.1039/c7cp05267g
  KAuH2 ,  123,      120,  0.3  ,            , 0.11,    0.3    , https://doi.org/10.1021/jacs.7b04456
BaAu2H4 ,   79,        0,  2.0  ,            , 0.12,   30      , https://doi.org/10.1021/jacs.7b04456
SrAu2H4 ,   79,        0,  0.9  ,            , 0.12,   10      , https://doi.org/10.1021/jacs.7b04456
  MgCH4 ,  129,       75,  1.17 ,            , 0.10,   88      , https://doi.org/10.1088/2053-1591/2/4/046001
  MgCH4 ,  129,       90,  1.45 ,            , 0.10,   96      , https://doi.org/10.1088/2053-1591/2/4/046001
  MgCH4 ,  129,      105,  1.49 ,            , 0.10,  121      , https://doi.org/10.1088/2053-1591/2/4/046001
  MgCH4 ,  129,      120,  1.43 ,            , 0.10,   84      , https://doi.org/10.1088/2053-1591/2/4/046001
 ClS7H24,  229,      100, 1.85   ,    947    , 0.13,  140      , https://doi.org/10.7566/JPSJ.87.124711
 ClS7H24,  229,      150, 2.18   ,    851    , 0.13,  148      , https://doi.org/10.7566/JPSJ.87.124711
 ClS7H24,  229,      200, 1.32   ,   1380    , 0.13,  136      , https://doi.org/10.7566/JPSJ.87.124711
 ClS7H24,  229,      250, 1.14   ,   1510    , 0.13,  119      , https://doi.org/10.7566/JPSJ.87.124711
ClS15H48,  229,      100, 1.59   ,   1010    , 0.13,  126      , https://doi.org/10.7566/JPSJ.87.124711
ClS15H48,  229,      150, 2.04   ,    893    , 0.13,  146      , https://doi.org/10.7566/JPSJ.87.124711
ClS15H48,  229,      200, 1.52   ,   1380    , 0.13,  161      , https://doi.org/10.7566/JPSJ.87.124711
ClS15H48,  229,      250, 1.23   ,   1610    , 0.13,  142      , https://doi.org/10.7566/JPSJ.87.124711
 PS15H48,  229,      100, 1.69   ,    977    , 0.13,  131      , https://doi.org/10.7566/JPSJ.87.124711
 PS15H48,  229,      150, 2.82   ,    761    , 0.13,  170      , https://doi.org/10.7566/JPSJ.87.124711
 PS15H48,  229,      200, 2.32   ,   1180    , 0.13,  212      , https://doi.org/10.7566/JPSJ.87.124711
 PS15H48,  229,      250, 1.60   ,   1530    , 0.13,  190      , https://doi.org/10.7566/JPSJ.87.124711
  PS7H24,  229,      100, 1.89   ,    895    , 0.13,  136      , https://doi.org/10.7566/JPSJ.87.124711
  PS7H24,  229,      150, 2.22   ,    950    , 0.13,  168      , https://doi.org/10.7566/JPSJ.87.124711
  PS7H24,  229,      200, 2.22   ,   1110    , 0.13,  194      , https://doi.org/10.7566/JPSJ.87.124711
  PS7H24,  229,      250, 1.53   ,   1500    , 0.13,  177      , https://doi.org/10.7566/JPSJ.87.124711
S2Se8H30,     ,      200,  0.73  ,       1400, 0.10,   54      , https://arxiv.org/abs/1812.03384
S3Se7H30,     ,      200,  0.63  ,       1448, 0.10,   39      , https://arxiv.org/abs/1812.03384
S5Se5H30,     ,      200,  0.99  ,       1421, 0.10,   99      , https://arxiv.org/abs/1812.03384
S6Se4H30,     ,      200,  0.91  ,       1414, 0.10,   84      , https://arxiv.org/abs/1812.03384










